,ad,bizseller,checkout,contact_hope,free_shipping,is_adult,is_super_up_shop,location,max_cpc,name,num_comment,num_faved,only_neighborhood,outlink_url,pid,price,product_image,pu_id,ref_campaign,ref_code,ref_medium,ref_content,ref_source,status,style,super_up,tag,uid,update_time,used,bun_pay_filter_enabled,imp_id,ad_ref,faved
1422,False,False,False,False,False,False,,충청남도 논산시 취암동,,나이키 덩크로우 범고래,0,1,False,,164837082,300000,https://media.bunjang.co.kr/product/164837082_1_1632050789_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크로우 밤고래 사이즈 275,7036042,1632050803,1,True,2993618b4b770876fe48,,False
1423,False,False,False,False,False,False,,서울특별시 마포구 서강동,,[미개봉] 범고래 285 / 나이키 덩크로우 레트로 블랙,0,1,False,,164804826,370000,https://media.bunjang.co.kr/product/164804826_1_1632020074_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 285,10389876,1632020074,2,False,2993618b4b770876fe49,,False
1424,False,False,False,False,False,False,,경기도 오산시 중앙동,,[255] 나이키 덩크 로우 범고래 새상품,0,0,False,,164657336,1234,https://media.bunjang.co.kr/product/164657336_1_1632015815_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크 덩크로우 범고래 255,6791346,1632015760,2,True,2993618b4b770876fe4a,,False
1425,False,False,False,False,False,False,,부산광역시 해운대구 좌제4동,,[판매완료] 나이키 덩크 로우 범고래 275 판매합니다,0,3,False,,164753291,270000,https://media.bunjang.co.kr/product/164753291_1_1632069282_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크로우 범고래 275 덩크범고래,10832287,1631999076,1,False,2993618b4b770876fe4b,,False
1426,False,False,False,False,False,False,,광주광역시 광산구 월곡1동,,[250] 나이키 덩크로우 레트로 블랙 / 범고래,0,25,False,,159379422,400000,https://media.bunjang.co.kr/product/159379422_1_1632067185_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래사카이나일론 베이퍼맥스프레스토 에어조던이지부스트 오프화이트덩크하이 파라노이즈스캇조던,9325750,1631973645,2,False,2993618b4b770876fe4c,,False
1427,False,False,False,False,False,False,,충청남도 아산시 둔포면,,범고래 235(gs),0,0,False,,164773688,260000,https://media.bunjang.co.kr/product/164773688_1_1631966253_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크로우 범고래,12104268,1631966253,1,True,2993618b4b770876fe4d,,False
1428,False,False,False,False,False,False,,서울특별시 성동구 성수1가제1동,,나이키 덩크 로우 범고래 280,0,9,False,,164756940,290000,https://media.bunjang.co.kr/product/164756940_1_1631951801_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키덩크로우범고래 덩크로우 나이키덩크,75855480,1631951801,1,True,2993618b4b770876fe4e,,False
1429,False,False,False,False,False,False,,인천광역시 남동구 구월1동,,나이키 덩크로우 범고래 255,0,2,False,,164734111,260000,https://media.bunjang.co.kr/product/164734111_1_1631931466_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,나이키 덩크로우 범고래,12483239,1631931466,1,True,2993618b4b770876fe4f,,False
1430,False,False,False,False,False,False,,인천광역시 남동구 구월1동,,나이키 덩크로우 범고래 255 풀박스,0,0,False,,164732499,260000,https://media.bunjang.co.kr/product/164732499_1_1631931063_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,,12483239,1631929720,1,True,2993618b4b770876fe50,,False
1431,False,False,False,False,False,False,,경기도 성남시 중원구 도촌동,,나이키 덩크 로우 블랙( 범고래) 280,0,5,False,,162475599,340000,https://media.bunjang.co.kr/product/162475599_1_1630315938_w{res}.jpg,,,soldout_test_v2:B,,,,3,,,범고래 덩크로우 덩크,7072297,1631883891,1,False,2993618b4b770876fe51,,False
