,Unnamed: 0,location,name,num_faved,pid,price,status,uid,update_time,used,datetime,date,size,product_name,brand,product_type,color,release_price,location1,location2,location3
34,34,서울특별시 강서구 공항동,트레비스스캇 조던1 로우 275,7,162068833,1600000,1,5748682,1630023662,2,2021-08-27 09:21:02,2021-08-27,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,강서구,공항동
35,35,충청남도 천안시 동남구 청룡동,에어조던1 로우 OG SP-255mm-(트레비스 스캇 프라그먼트),1,162155553,1700000,0,77250376,1629903982,2,2021-08-26 00:06:22,2021-08-26,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,충청남도,천안시,동남구 청룡동
36,36,인천광역시 남구 용현2동,에어조던1 로우 트레비스캇 235 새상품,4,161999654,1600000,0,12772941,1629188541,1,2021-08-17 17:22:21,2021-08-17,235,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,인천광역시,남구,용현2동
37,37,인천광역시 남구 용현2동,에어조던 1 로우 트레비스캇 235,5,161645953,1600000,0,12772941,1629182397,1,2021-08-17 15:39:57,2021-08-17,235,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,인천광역시,남구,용현2동
38,38,경기도 김포시 운양동,트레비스스캇 프라그먼트 에어 조던1 로우 270팝니다,1,161939600,1700000,1,9229377,1629151860,2,2021-08-17 07:11:00,2021-08-17,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,김포시,운양동
39,39,,나이키 에어조던1 로우 트레비스 스캇 265,0,161657838,1900000,0,5172327,1628832772,1,2021-08-13 14:32:52,2021-08-13,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,NUL,NUL,
40,40,전라북도 익산시 삼성동,에어 조던 1 로우 OG SP 280mm(트레비스 스캇),2,161651092,1800000,0,7216194,1628828389,2,2021-08-13 13:19:49,2021-08-13,280,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,전라북도,익산시,삼성동
41,41,충청남도 아산시 온양2동,[270] 조던1 로우 트레비스 스캇,1,161004312,1750000,0,2526551,1628288276,1,2021-08-07 07:17:56,2021-08-07,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,충청남도,아산시,온양2동
42,42,,나이키 조던1 로우 트레비스 스캇 255,2,159529626,1299000,1,8868818,1626665786,1,2021-07-19 12:36:26,2021-07-19,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,NUL,NUL,
43,43,인천광역시 남구 용현3동,조던1 트레비스 스캇 로우 265,8,156622801,1000000,1,11294718,1626659713,1,2021-07-19 10:55:13,2021-07-19,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,인천광역시,남구,용현3동
44,44,,나이키 조던1 로우 트레비스 스캇 255,3,159460920,1299000,1,8868818,1626589744,1,2021-07-18 15:29:04,2021-07-18,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,NUL,NUL,
45,45,충청남도 천안시 서북구 불당동,에어조던1 트레비스스캇 프라그먼트 로우 280,2,168767654,1650000,3,12655598,1636330855,1,2021-11-08 09:20:55,2021-11-08,280,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,충청남도,천안시,서북구 불당동
46,46,경기도 양주시 양주2동,트레비스캇 조던1 로우 250,1,166891111,1300000,3,130295,1636214626,1,2021-11-07 01:03:46,2021-11-07,250,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,양주시,양주2동
47,47,서울특별시 광진구 자양제4동,270 나이키 조던1 트레비스스캇 OG로우,1,169129510,1300000,3,120831,1636186466,1,2021-11-06 17:14:26,2021-11-06,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,광진구,자양제4동
48,48,경기도 평택시 비전1동,트레비스스캇 조던1 로우 OG 모카 270사이즈,1,167334954,1300000,3,76961345,1636013184,1,2021-11-04 17:06:24,2021-11-04,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,평택시,비전1동
49,49,충청남도 천안시 서북구 부성1동,트레비스스캇 조던1 로우 OG 모카 270사이즈,1,168781806,1300000,3,76961345,1635958096,1,2021-11-04 01:48:16,2021-11-04,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,충청남도,천안시,서북구 부성1동
50,50,,[250] 나이키 조던1 트레비스 스캇 프라그먼트 로우,5,162387168,1400000,3,3211659,1635666581,2,2021-10-31 16:49:41,2021-10-31,250,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,NUL,NUL,
51,51,부산광역시 부산진구 부암제1동,나이키 에어조던 1 레트로 로우 x 트레비스스캇 x 프라그먼트 260,1,163182224,1550000,3,76227023,1634194302,1,2021-10-14 15:51:42,2021-10-14,260,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,부산광역시,부산진구,부암제1동
52,52,서울특별시 관악구 낙성대동,(275)조던 1 로우 트레비스스캇 프라그먼트,0,166852736,1750000,3,12998258,1634088821,2,2021-10-13 10:33:41,2021-10-13,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,관악구,낙성대동
53,53,대구광역시 동구 안심1동,조던1 로우 트레비스 스캇 X 프라그먼트 260,1,166677269,1150000,3,77133052,1633924639,1,2021-10-11 12:57:19,2021-10-11,260,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,대구광역시,동구,안심1동
54,54,경상북도 구미시 선주원남동,(275) 조던1 트레비스 스캇 프라그먼트 로우 미시착 새제품 판매,3,166120242,1650000,3,2909452,1633655989,1,2021-10-08 10:19:49,2021-10-08,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경상북도,구미시,선주원남동
55,55,경상남도 김해시 주촌면,[285] 나이키 트레비스 스캇 프라그먼트 조던 1 로우 밀리터리 블루,8,165785898,1090000,3,74993085,1633569665,1,2021-10-07 10:21:05,2021-10-07,285,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경상남도,김해시,주촌면
56,56,경상남도 양산시 물금읍,[265] 조던 1 로우 트레비스스캇 프라그먼트,0,161773245,1500000,3,5370941,1633432116,1,2021-10-05 20:08:36,2021-10-05,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경상남도,양산시,물금읍
57,57,서울특별시 서초구 양재2동,나이키 조던1로우 OG 트레비스스캇 275 팝니다,1,164739400,1700000,3,77442005,1633175191,2,2021-10-02 20:46:31,2021-10-02,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,서초구,양재2동
58,58,서울특별시 관악구 신림동,조던1 로우 프라그먼트x트레비스스캇 280 사이즈,0,165592846,1630000,3,76735952,1632878726,2,2021-09-29 10:25:26,2021-09-29,280,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,관악구,신림동
59,59,서울특별시 마포구 서강동,(미개봉) 조던 1 로우 트레비스 스캇 X 프라그먼트 블루 275size,2,164924734,1620000,3,10389876,1632628595,2,2021-09-26 12:56:35,2021-09-26,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,마포구,서강동
60,60,경기도 부천시 중2동,[260]조던1 트레비스캇 프라그먼트 레트로 로우 OG SP 밀리터리블루,1,164521623,1540000,3,10623179,1631682937,1,2021-09-15 14:15:37,2021-09-15,260,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,부천시,중2동
61,61,경기도 안양시 동안구 평안동,[265] 트레비스스캇 x 프라그먼트 x 에어조던 1 로우 OG 판매,0,164472969,1590000,3,8180127,1631619991,2,2021-09-14 20:46:31,2021-09-14,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,안양시,동안구 평안동
62,62,서울특별시 송파구 방이2동,에어조던 1 로우 프라그먼트 트레비스캇 260,1,164019640,1600000,3,8815638,1631154684,1,2021-09-09 11:31:24,2021-09-09,260,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,송파구,방이2동
63,63,광주광역시 광산구 첨단1동,트레비스스캇 프라그먼트 조던1로우 265,0,162550130,1500000,3,445752,1631091762,1,2021-09-08 18:02:42,2021-09-08,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,광주광역시,광산구,첨단1동
64,64,인천광역시 연수구 동춘2동,(270) 나이키 X 트레비스 스캇 조던1 모카 로우 판매,0,163918732,1550000,3,281608,1631034254,1,2021-09-08 02:04:14,2021-09-08,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,인천광역시,연수구,동춘2동
65,65,인천광역시 연수구 연수2동,(270) 나이키X트레비스 스캇 조던1 로우 모카 판매,1,163918191,1550000,3,4462589,1631033363,1,2021-09-08 01:49:23,2021-09-08,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,인천광역시,연수구,연수2동
66,66,서울특별시 관악구 조원동,조던1 트레비스스캇 프라그먼트 로우 (250),0,162080445,1400000,3,4940961,1630926301,1,2021-09-06 20:05:01,2021-09-06,250,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,관악구,조원동
67,67,서울특별시 동작구 신대방제1동,[270] 조던 1 로우 프라그먼트 트레비스스캇,2,162647830,1650000,3,3031125,1630752986,2,2021-09-04 19:56:26,2021-09-04,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,동작구,신대방제1동
68,68,대전광역시 중구 문화1동,[280] 나이키 조던1 트레비스 스캇 프라그먼트 로우,1,163479737,1650000,3,9384032,1630681487,2,2021-09-04 00:04:47,2021-09-04,280,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,대전광역시,중구,문화1동
69,69,경기도 안산시 상록구 부곡동,조던 1 트레비스스캇 프라그먼트 로우 255,0,163524972,1430000,3,2519982,1630654970,1,2021-09-03 16:42:50,2021-09-03,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,안산시,상록구 부곡동
70,70,경기도 안산시 상록구 부곡동,조던 1 트레비스스캇 프라그먼트 로우 255,1,161711950,1430000,3,2519982,1630636956,1,2021-09-03 11:42:36,2021-09-03,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경기도,안산시,상록구 부곡동
71,71,경상남도 김해시 주촌면,[275] 나이키 트레비스 스캇 조던 1 로우 og ,1,163408302,1300000,3,74993085,1630552758,1,2021-09-02 12:19:18,2021-09-02,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,경상남도,김해시,주촌면
