날짜,나이키덩크로우골든로드,나이키덩크로우라이트본,나이키덩크로우바시티그린,나이키덩크로우범고래,나이키덩크로우유니버시티블루,나이키덩크로우코스트,나이키덩크하이네이비,나이키덩크하이범고래,나이키덩크하이오렌지,조던1하이다크모카,조던1하이스모크그레이,조던1하이하이퍼로얄,조던1미드그레이포크,조던1미드스모크그레이,조던1미드울프그레이,조던1미드짐레드,조던1로우스타피쉬,조던1로우울프그레이,조던1로우트레비스스캇,뉴발란스992그레이,뉴발란스992네이비,뉴발란스992블랙그레이,뉴발란스992화이트실버,뉴발란스993네이비,뉴발란스993그레이,뉴발란스993블랙
2021-04-14,,,,10.0,,23.0,,5.0,,3.0,,23.0,,3.0,,1.0,,,,20,4.0,,6.0,8.0,22,9.0
2021-04-15,,,,11.0,,32.0,,10.0,1.0,,10.0,,,8.0,,,,,,26,9.0,1.0,3.0,4.0,31,11.0
2021-04-16,,,,10.0,,30.0,,7.0,,6.0,,,,4.0,,,,,,37,1.0,,3.0,12.0,23,9.0
2021-04-17,,,,9.0,,17.0,,13.0,,,6.0,,,10.0,,3.0,,,,26,8.0,1.0,4.0,12.0,41,14.0
2021-04-18,,,,9.0,,46.0,,9.0,2.0,13.0,,3.0,,9.0,,,,,,29,5.0,,3.0,8.0,43,20.0
2021-04-19,,,,10.0,,27.0,,11.0,,,,3.0,,10.0,,6.0,,,,31,4.0,3.0,3.0,6.0,38,13.0
2021-04-20,,,,9.0,,22.0,,6.0,,,6.0,,,16.0,,1.0,,,,36,8.0,1.0,3.0,3.0,41,10.0
2021-04-21,,,,8.0,,24.0,,14.0,,42.0,,,,6.0,,1.0,,,,39,2.0,3.0,,4.0,39,11.0
2021-04-22,,,,9.0,,24.0,,9.0,,,,,,11.0,1.0,,,,,31,3.0,3.0,1.0,2.0,39,6.0
2021-04-23,,,,8.0,,22.0,,13.0,,6.0,3.0,,,11.0,,,,,,27,,3.0,2.0,4.0,27,11.0
2021-04-24,,,,100.0,,17.0,,35.0,,,,,,1.0,,8.0,,,,29,4.0,3.0,1.0,2.0,31,10.0
