,location,name,num_faved,pid,price,status,uid,update_time,used,datetime,date,size,product_name,brand,product_type,color,release_price,location1,location2,location3
54,서울특별시 노원구 상계3.4동,[230] 조던1 로우 스타피쉬 급처,10,168400003,230000,3,5956504,1635651371,1,2021-10-31 12:36:11,2021-10-31,230,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,노원구,상계3.4동
55,서울특별시 용산구 이태원제1동,조던1 로우 스타피쉬 255,5,165691717,350000,3,5866183,1635485905,2,2021-10-29 14:38:25,2021-10-29,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,용산구,이태원제1동
56,서울특별시 성동구 성수2가제3동,조던 1 로우 og 스타피쉬  290,2,167218819,370000,3,2336822,1635398942,1,2021-10-28 14:29:02,2021-10-28,290,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,성동구,성수2가제3동
57,경기도 수원시 권선구 평동,조던1 로우 OG 스타피쉬 250 실착1회!!,1,168141869,300000,3,143301,1635315799,1,2021-10-27 15:23:19,2021-10-27,250,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,수원시,권선구 평동
58,경기도 의정부시 자금동,270 조던1 로우 스타피쉬,3,167975526,320000,3,4807922,1635311003,1,2021-10-27 14:03:23,2021-10-27,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,의정부시,자금동
59,경기도 수원시 장안구 송죽동,조던1 로우 스타피쉬 270,0,168144329,350000,3,12708257,1635263986,2,2021-10-27 00:59:46,2021-10-27,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,수원시,장안구 송죽동
60,NULL,조던1 로우 스타피쉬 280,1,168061507,345000,3,77559436,1635224970,2,2021-10-26 14:09:30,2021-10-26,280,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
61,서울특별시 구로구 고척제2동,조던1 로우 OG 스타피쉬 255 팝니다,1,165142645,330000,3,77481897,1635213835,2,2021-10-26 11:03:55,2021-10-26,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,구로구,고척제2동
62,서울특별시 강동구 천호제1동,에어조던1 로우 스타피쉬(W)275,3,164323661,323000,3,75778695,1635213080,2,2021-10-26 10:51:20,2021-10-26,275,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,강동구,천호제1동
63,NULL,조던1 로우 스타피쉬 285,0,168061577,350000,3,77559436,1635211105,2,2021-10-26 10:18:25,2021-10-26,285,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
64,경기도 안양시 동안구 관양1동,[판매]나이키 조던1 로우 OG 스타피쉬 265,4,167340575,349000,3,7791329,1635144591,2,2021-10-25 15:49:51,2021-10-25,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,안양시,동안구 관양1동
65,경기도 성남시 수정구 수진1동,[260]조던1 로우 스타피쉬,2,167993887,340000,3,75246895,1635142902,2,2021-10-25 15:21:42,2021-10-25,260,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,성남시,수정구 수진1동
66,서울특별시 송파구 잠실본동,230 나이키 조던1 로우 스타피쉬,6,166158979,290000,3,11234354,1635140162,2,2021-10-25 14:36:02,2021-10-25,230,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,송파구,잠실본동
67,경기도 수원시 영통구 원천동,[새상품/정품/280] 조던1 로우 OG 스타피쉬,2,166908994,350000,3,9296730,1635091491,2,2021-10-25 01:04:51,2021-10-25,280,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,수원시,영통구 원천동
68,서울특별시 마포구 연남동,[285]조던1 로우 스타피쉬,0,167844070,345000,3,4662294,1635089128,2,2021-10-25 00:25:28,2021-10-25,285,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,마포구,연남동
69,NULL,조던1 스타피쉬 로우 310,3,167098133,290000,3,77323305,1634948940,1,2021-10-23 09:29:00,2021-10-23,310,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
70,경기도 화성시 새솔동,[265]조던1 로우 스타피쉬 새상품,1,167737446,340000,3,1779291,1634892566,2,2021-10-22 17:49:26,2021-10-22,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,화성시,새솔동
71,서울특별시 영등포구 영등포본동,[230] W 조던1 로우 OG 스타피쉬 판매 ,22,163907844,270000,3,75586218,1634855219,2,2021-10-22 07:26:59,2021-10-22,230,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,영등포구,영등포본동
72,경기도 성남시 중원구 하대원동,(270) 조던1 로우 스타피쉬 팝니당,3,167689611,285000,3,74932772,1634839064,1,2021-10-22 02:57:44,2021-10-22,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,성남시,중원구 하대원동
73,경상남도 함안군 가야읍,[265] 조던 1 로우 OG 스타피쉬,9,166941149,325000,3,13144017,1634772244,2,2021-10-21 08:24:04,2021-10-21,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경상남도,함안군,가야읍
74,서울특별시 마포구 상암동,(W255) 조던1 로우 스타피쉬,5,166167129,299000,3,74832741,1634756052,2,2021-10-21 03:54:12,2021-10-21,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,마포구,상암동
75,서울특별시 관악구 신림동,조던 1 로우 스타피쉬 235 (W),9,166641634,220000,3,9726452,1634713405,1,2021-10-20 16:03:25,2021-10-20,235,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,관악구,신림동
76,서울특별시 동대문구 회기동,조던1 로우 스타피쉬 250,2,167414830,230000,3,1075110,1634616983,1,2021-10-19 13:16:23,2021-10-19,250,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,동대문구,회기동
77,경기도 성남시 분당구 서현2동,나이키 조던1 로우 og 스타피쉬 270 판매합니다,2,167393751,330000,3,77323603,1634568076,2,2021-10-18 23:41:16,2021-10-18,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,성남시,분당구 서현2동
