날짜,뉴발란스 993 그레이,뉴발란스 993 네이비,뉴발란스 993 블랙
2021-07-17,29.61608,3.6563,4.38756
2021-07-18,29.7989,2.92504,6.76416
2021-07-19,22.48628,2.01096,5.48446
2021-07-20,22.12065,1.46252,4.57038
2021-07-21,23.58318,2.92504,6.21572
2021-07-22,23.03473,2.19378,4.93601
2021-07-23,23.94881,3.10786,4.57038
2021-07-24,23.40036,2.74223,4.20475
2021-07-25,31.26142,1.09689,5.85009
2021-07-26,21.57221,2.55941,2.92504
2021-07-27,22.30347,1.09689,3.10786
2021-07-28,20.84095,2.19378,3.6563
2021-07-29,19.19561,1.64533,4.20475
2021-07-30,18.82998,2.37659,5.11882
2021-07-31,23.21755,0.0,1.82815
2021-08-01,24.31444,2.37659,4.02193
2021-08-02,20.47531,0.91407,4.20475
2021-08-03,25.95978,4.75319,3.83912
2021-08-04,29.43327,2.92504,5.85009
2021-08-05,33.45521,3.10786,6.39853
2021-08-06,20.65813,3.83912,6.0329
2021-08-07,21.20658,4.38756,8.22669
2021-08-08,40.40219,1.64533,5.48446
2021-08-09,34.5521,6.0329,4.38756
2021-08-10,34.5521,4.38756,10.42047
2021-08-11,30.89579,4.75319,8.77513
2021-08-12,27.97074,3.6563,3.6563
2021-08-13,28.70201,4.75319,4.75319
2021-08-14,32.54113,2.55941,4.02193
2021-08-15,36.9287,3.29067,4.38756
2021-08-16,46.80073,4.75319,4.75319
2021-08-17,36.9287,4.57038,6.76416
2021-08-18,42.04753,5.48446,7.12979
2021-08-19,37.29433,3.10786,6.58135
2021-08-20,33.63802,2.37659,8.77513
2021-08-21,44.0585,4.38756,6.39853
2021-08-22,40.76782,4.20475,8.04387
2021-08-23,41.49908,7.12979,8.59232
2021-08-24,47.89762,9.87202,9.50639
2021-08-25,48.99451,4.02193,7.86106
2021-08-26,39.48811,5.66727,12.24862
2021-08-27,46.98354,4.57038,8.77513
2021-08-28,41.86471,6.76416,6.58135
2021-08-29,45.70383,8.59232,8.4095
2021-08-30,45.52102,6.58135,10.23765
2021-08-31,50.82266,4.38756,8.77513
2021-09-01,42.41316,6.39853,8.77513
2021-09-02,51.73674,7.49542,14.80804
2021-09-03,55.21023,4.57038,10.96892
2021-09-04,49.36014,6.39853,11.33455
2021-09-05,57.40402,5.11882,13.1627
2021-09-06,55.75868,6.94698,14.25959
2021-09-07,58.13528,7.67824,10.42047
2021-09-08,53.38208,5.11882,13.52833
2021-09-09,53.93053,6.39853,9.32358
2021-09-10,51.37111,5.11882,9.50639
2021-09-11,56.67276,4.57038,15.35648
2021-09-12,64.16819,5.85009,17.73308
2021-09-13,59.23217,4.75319,11.33455
2021-09-14,60.14625,6.94698,11.51736
2021-09-15,48.62888,4.20475,7.67824
2021-09-16,42.41316,5.11882,6.58135
2021-09-17,43.51005,4.20475,8.95795
2021-09-18,48.26325,12.43144,4.02193
2021-09-19,56.12431,12.24862,11.33455
2021-09-20,43.51005,5.48446,8.59232
2021-09-21,47.7148,9.50639,10.96892
2021-09-22,63.43692,10.42047,13.1627
2021-09-23,57.95246,6.58135,9.32358
2021-09-24,49.90859,8.04387,13.34552
2021-09-25,50.82266,6.76416,13.34552
2021-09-26,64.351,9.50639,9.87202
2021-09-27,54.47897,7.31261,13.89396
2021-09-28,47.34917,7.31261,12.43144
2021-09-29,51.91956,8.04387,14.25959
2021-09-30,54.66179,8.22669,11.88299
2021-10-01,53.56489,8.77513,12.97989
2021-10-02,49.54296,6.21572,10.60329
2021-10-03,49.36014,7.31261,7.67824
2021-10-04,54.47897,6.39853,13.1627
2021-10-05,57.95246,8.22669,15.17367
2021-10-06,76.78244,9.14076,13.71115
2021-10-07,64.71663,10.96892,14.44241
2021-10-08,56.48994,10.7861,12.79707
2021-10-09,55.21023,8.22669,10.60329
2021-10-10,58.13528,5.30164,11.51736
2021-10-11,67.27605,12.06581,10.7861
2021-10-12,55.02742,9.68921,13.89396
2021-10-13,60.69469,9.32358,11.88299
2021-10-14,56.67276,8.77513,12.24862
2021-10-15,48.26325,7.31261,12.79707
2021-10-16,54.47897,11.51736,17.18464
2021-10-17,70.38391,8.04387,11.70018
2021-10-18,56.85557,9.68921,11.15173
2021-10-19,52.468,8.22669,13.34552
2021-10-20,63.25411,13.1627,16.27056
2021-10-21,62.88848,14.25959,15.35648
2021-10-22,69.83546,12.43144,13.34552
2021-10-23,63.80255,8.59232,12.97989
2021-10-24,73.8574,10.7861,12.79707
2021-10-25,70.93235,10.05484,11.88299
2021-10-26,64.53382,9.68921,13.71115
